,name,year,month,day,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,days_completed
0,antena3_2019 09 14_morning_new,2019,09,14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06011543795466422,0.0,0.0,0.0,0.0,0.0,0.15414464473724365,0.013062830083072186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297192096710205,0.0,0.03744342178106308,0.0,0.0,0.0,0.0513768307864666,0.0,0.0,0.22910694777965546,0.016140606254339218,0.0,0.0,0.0,2019 09 14
1,antena3_2019 09 14_afternoon_new,2019,09,14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09804297238588333,0.0,0.0,0.0,0.0,0.0,0.08708152174949646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5656414628028871,0.0,0.057150844484567635,0.0,0.0,0.0,0.025471044704318047,0.0,0.0,0.1390693634748459,0.02698411233723164,0.0,0.0,0.0,2019 09 14
2,antena3_2019 09 15_morning_new,2019,09,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0881672278046608,0.0,0.0,0.0,0.0,0.0,0.263178288936615,0.014368942938745022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39358434081077576,0.0,0.03823609277606009,0.0,0.0,0.0,0.039125781506299966,0.0,0.0,0.06851308047771454,0.0895838662981987,0.0,0.0,0.0,2019 09 15
3,antena3_2019 09 15_afternoon_new,2019,09,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04641561210155487,0.0,0.0,0.0,0.0,0.0,0.25745612382888794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569827377796173,0.0,0.07197122275829315,0.0,0.0,0.0,0.015099478885531425,0.0,0.0,0.10512742400169373,0.12079889327287675,0.020989229902625084,0.0,0.0,2019 09 15
4,antena3_2019 09 16_morning_new,2019,09,16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07530339807271957,0.0,0.0,0.0,0.0,0.0,0.11020054668188096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3746525049209595,0.0,0.017254596576094627,0.0,0.0,0.0,0.04238283261656761,0.0,0.0,0.09204427152872086,0.2769642472267151,0.0,0.0,0.0,2019 09 16
5,antena3_2019 09 16_afternoon_new,2019,09,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27977344393730164,0.0,0.0,0.0,0.0,0.0,0.11457373201847075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24991680681705475,0.0,0.059145160019397736,0.0,0.0,0.0,0.06839253008365631,0.0,0.0,0.03524236008524895,0.18589262664318085,0.0,0.0,0.0,2019 09 16
6,antena3_2019 09 17_morning_new,2019,09,17,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03952159732580185,0.09732955694198607,0.0,0.0,0.0,0.0,0.0,0.08324853330850601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11609017848968504,0.0,0.017401358112692833,0.0,0.0,0.0,0.16655054688453674,0.0,0.0,0.0,0.4684134423732758,0.0,0.0,0.0,2019 09 17
7,antena3_2019 09 17_afternoon_new,2019,09,17,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011306608095765114,0.5751535296440125,0.0,0.0,0.0,0.0,0.0,0.06030199304223061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157184667885304,0.0,0.05614351481199265,0.0,0.0,0.0,0.06609243154525757,0.0,0.0,0.0,0.18724462389945984,0.0,0.019003253430128098,0.0,2019 09 17
8,antena3_2019 09 18_morning_new,2019,09,18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12850086390972135,0.0,0.0,0.0,0.0,0.0,0.18512284755706787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2801281809806824,0.0,0.013339453376829624,0.0,0.0,0.0,0.0926930084824562,0.0,0.0,0.033219214528799064,0.2644086480140686,0.0,0.0,0.0,2019 09 18
9,antena3_2019 09 18_afternoon_new,2019,09,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863961160182953,0.0,0.0,0.0,0.0,0.0,0.08825752884149551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11413596570491792,0.0,0.16762755811214447,0.0,0.0,0.0,0.11784465610980988,0.0,0.0,0.0,0.1984379291534424,0.0,0.02039607055485249,0.0,2019 09 18
